,borough,neighborhood,building_class_category,block,lot,address,zip_code,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date,nyc,manhattan,brooklyn,staten_island,bronx,queens
4631,manhattan,HARLEM-CENTRAL,10 COOPS - ELEVATOR APARTMENTS,1823,1.0,"1855 7TH AVENUE, 1D",10026,1915,2,D4,995000.0,8/29/19,True,True,False,False,False,False
49271,queens,BRIARWOOD,10 COOPS - ELEVATOR APARTMENTS,9665,1.0,"83-35 139TH STREET, 3N",11435,1955,2,D4,226000.0,11/21/19,True,False,False,False,False,True
77483,staten_island,SOUTH BEACH,01 ONE FAMILY DWELLINGS,3349,21.0,136 QUINTARD STREET,10305,1989,1,A5,440000.0,9/9/19,True,False,False,True,False,False
48506,queens,BAYSIDE,10 COOPS - ELEVATOR APARTMENTS,5958,100.0,"23-35 BELL BOULEVARD, 1K",11360,1961,2,D4,260000.0,4/24/19,True,False,False,False,False,True
69061,queens,SPRINGFIELD GARDENS,01 ONE FAMILY DWELLINGS,12587,34.0,169-03 144TH AVENUE,11434,1920,1,A1,505000.0,8/2/19,True,False,False,False,False,True
63394,queens,OZONE PARK,01 ONE FAMILY DWELLINGS,11352,128.0,90-14 SILVER ROAD,11417,1930,1,A1,480000.0,10/25/19,True,False,False,False,False,True
11095,manhattan,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS,1396,33.0,"167 EAST 61ST STREET, PHD",10065,1983,2,D4,1200000.0,4/9/19,True,True,False,False,False,False
8389,manhattan,MIDTOWN WEST,13 CONDOS - ELEVATOR APARTMENTS,1003,1318.0,"150 WEST 51ST STREET, 17-20",10019,,2,R4,742500.0,6/21/19,True,True,False,False,False,False
49582,queens,CAMBRIA HEIGHTS,01 ONE FAMILY DWELLINGS,12764,81.0,118-34 228TH STREET,11411,1950,1,A1,590000.0,8/19/19,True,False,False,False,False,True
76294,staten_island,PLEASANT PLAINS,01 ONE FAMILY DWELLINGS,7702,313.0,54 CRANBERRY COURT,10309,2002,1,A5,499000.0,6/26/19,True,False,False,True,False,False
11052,manhattan,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS,1391,72.0,"955 FIFTH AVENUE, 8A",10075,1938,2,D4,2500000.0,10/3/19,True,True,False,False,False,False
27127,brooklyn,EAST NEW YORK,02 TWO FAMILY DWELLINGS,4067,16.0,647 LINWOOD STREET,11208,1901,1,B1,700000.0,3/22/19,True,False,True,False,False,False
78318,staten_island,WEST NEW BRIGHTON,01 ONE FAMILY DWELLINGS,208,32.0,27 CAROLINE STREET,10310,1899,1,A1,150000.0,3/6/19,True,False,False,True,False,False
78808,staten_island,WILLOWBROOK,01 ONE FAMILY DWELLINGS,2090,55.0,788 SOUTH GANNON AVENUE,10314,1985,1,A5,425000.0,5/15/19,True,False,False,True,False,False
32813,brooklyn,MIDWOOD,01 ONE FAMILY DWELLINGS,6720,57.0,1054 E 19 ST,11230,1915,1,A1,1400000.0,3/29/19,True,False,True,False,False,False
16791,manhattan,WASHINGTON HEIGHTS UPPER,10 COOPS - ELEVATOR APARTMENTS,2246,110.0,"1825 RIVERSIDE DRIVE, 6G",10034,1926,2,D4,475000.0,6/3/19,True,True,False,False,False,False
76295,staten_island,PLEASANT PLAINS,01 ONE FAMILY DWELLINGS,7702,355.0,40 CRANBERRY COURT,10309,2002,1,A5,473000.0,4/25/19,True,False,False,True,False,False
29940,brooklyn,FLATLANDS,02 TWO FAMILY DWELLINGS,7804,33.0,1121 EAST 56TH STREET,11234,1960,1,B1,815000.0,8/26/19,True,False,True,False,False,False
17821,brooklyn,BAY RIDGE,13 CONDOS - ELEVATOR APARTMENTS,5868,1210.0,"6911 SHORE ROAD, 1B",11209,,2,R4,910000.0,3/1/19,True,False,True,False,False,False
30021,brooklyn,FLATLANDS,10 COOPS - ELEVATOR APARTMENTS,7780,8.0,"1165 EAST 54TH STREET, 6R",11234,1966,2,D4,235000.0,11/5/19,True,False,True,False,False,False
9359,manhattan,MURRAY HILL,10 COOPS - ELEVATOR APARTMENTS,909,1.0,"201 EAST 28TH STREET, 14F",10016,1964,2,D4,875000.0,3/18/19,True,True,False,False,False,False
75749,staten_island,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,2384,24.0,181 MERRYMOUNT STREET,10314,1970,1,A1,770000.0,9/12/19,True,False,False,True,False,False
9614,manhattan,MURRAY HILL,13 CONDOS - ELEVATOR APARTMENTS,888,1033.0,"157 EAST 32ND STREET, 9A",10016,1988,2,R4,868948.0,5/13/19,True,True,False,False,False,False
24637,brooklyn,COBBLE HILL,13 CONDOS - ELEVATOR APARTMENTS,295,1115.0,"78 AMITY STREET, 3D",11201,2018,2,R4,1575000.0,12/5/19,True,False,True,False,False,False
9644,manhattan,MURRAY HILL,13 CONDOS - ELEVATOR APARTMENTS,894,408.0,"77 PARK AVENUE, 4H",10016,1924,2,R4,993950.0,4/29/19,True,True,False,False,False,False
28399,brooklyn,FLATBUSH-EAST,01 ONE FAMILY DWELLINGS,4760,52.0,665 EAST 49TH STREET,11203,1930,1,A5,609000.0,4/23/19,True,False,True,False,False,False
33088,brooklyn,MIDWOOD,10 COOPS - ELEVATOR APARTMENTS,6709,1.0,"1620 AVENUE I, 502",11230,1941,2,D4,345000.0,3/18/19,True,False,True,False,False,False
72789,staten_island,CONCORD-FOX HILLS,01 ONE FAMILY DWELLINGS,2925,631.0,257 SKYLINE DRIVE,10304,2002,1,A5,455000.0,12/6/19,True,False,False,True,False,False
4623,manhattan,HARLEM-CENTRAL,10 COOPS - ELEVATOR APARTMENTS,1746,21.0,"1831 MADISON AVENUE, 6K",10035,2001,2,D4,674000.0,7/29/19,True,True,False,False,False,False
10705,manhattan,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,222,1220.0,"443 GREENWICH STREET, 3C",10013,1905,2,R4,10200000.0,1/15/19,True,True,False,False,False,False
